date;clot
17/04/2015;1,08
20/04/2015;1,08
21/04/2015;1,084
22/04/2015;1,078
23/04/2015;1,085
24/04/2015;1,081
27/04/2015;1,06
28/04/2015;1,056
29/04/2015;1,056
30/04/2015;1,059
04/05/2015;1,088
05/05/2015;1,04
06/05/2015;1,023
07/05/2015;1,039
08/05/2015;1,06
11/05/2015;1,041
12/05/2015;1,075
13/05/2015;1,087
14/05/2015;1,09
15/05/2015;1,092
18/05/2015;1,092
19/05/2015;1,12
20/05/2015;1,13
21/05/2015;1,124
22/05/2015;1,135
25/05/2015;1,116
26/05/2015;1,12
27/05/2015;1,132
28/05/2015;1,138
29/05/2015;1,116
01/06/2015;1,129
02/06/2015;1,163
03/06/2015;1,168
04/06/2015;1,179
05/06/2015;1,147
08/06/2015;1,136
09/06/2015;1,111
10/06/2015;1,145
11/06/2015;1,154
12/06/2015;1,146
15/06/2015;1,121
16/06/2015;1,105
17/06/2015;1,11
18/06/2015;1,155
19/06/2015;1,161
22/06/2015;1,184
23/06/2015;1,191
24/06/2015;1,178
25/06/2015;1,178
26/06/2015;1,183
29/06/2015;1,127
30/06/2015;1,138
01/07/2015;1,167
02/07/2015;1,151
03/07/2015;1,155
06/07/2015;1,109
07/07/2015;1,088
08/07/2015;1,137
09/07/2015;1,167
10/07/2015;1,19
13/07/2015;1,205
14/07/2015;1,19
15/07/2015;1,206
16/07/2015;1,25
17/07/2015;1,248
20/07/2015;1,261
21/07/2015;1,241
22/07/2015;1,25
23/07/2015;1,225
24/07/2015;1,21
27/07/2015;1,193
28/07/2015;1,196
29/07/2015;1,201
30/07/2015;1,205
31/07/2015;1,205
03/08/2015;1,235
04/08/2015;1,234
05/08/2015;1,244
06/08/2015;1,221
07/08/2015;1,21
10/08/2015;1,215
11/08/2015;1,214
12/08/2015;1,168
13/08/2015;1,175
14/08/2015;1,185
17/08/2015;1,184
18/08/2015;1,186
19/08/2015;1,16
20/08/2015;1,137
21/08/2015;1,124
24/08/2015;1,064
25/08/2015;1,128
26/08/2015;1,121
27/08/2015;1,132
28/08/2015;1,101
31/08/2015;1,083
01/09/2015;1,063
02/09/2015;1,075
03/09/2015;1,115
04/09/2015;1,091
07/09/2015;1,116
08/09/2015;1,107
09/09/2015;1,138
10/09/2015;1,124
11/09/2015;1,089
14/09/2015;1,052
15/09/2015;1,084
16/09/2015;1,109
17/09/2015;1,101
18/09/2015;1,106
21/09/2015;1,114
22/09/2015;1,083
23/09/2015;1,088
24/09/2015;1,073
25/09/2015;1,106
28/09/2015;1,085
