,LVMH,TELECOM ITALIA,NOKIA,DEUTSCHE BANK,AEGON,SCHLUMBERGER,NTTDoCoMo,HONDA MOTOR,TOSHIBA,PROCTER & GAMBLE,BANK OF AMERICA,ENEL,LEGAL & GENERAL,BRIDGESTONE,AIR LQUIDE,GENERALI
25/10/18,"265,45","0,531","4,9","8,61","5,28","47,64","2,571","3,095","3,25","93,29","27,75","4,42","247,4","4,225","107,7","14,28"
26/10/18,"262,45","0,535","4,79","8,6","5,23","46,37","2,575","3,17","3,295","92,1","27,38","4,5","244,9","4,26","106,65","14,38"
29/10/18,"261,95","0,542","4,86","8,56","5,31","46,63","2,552","3,219","3,35","91,41","27,27","4,47","244,6","4,329","105,65","14,39"
30/10/18,"259,95","0,516","4,87","8,15","5,32","46,2","2,576","3,21","3,28","91,54","26,97","4,48","242,6","4,28","105,25","14,44"
31/10/18,"268,8","0,53","4,87","8,32","5,43","46,41","2,572","3,206","3,23","91,94","27,56","4,46","241,6","4,222",107,"14,29"
01/11/18,"269,8","0,538","4,82","8,23","5,43","45,9","2,58","3,215","3,265","92,72","27,74","4,47","229,6","4,265","105,95","14,39"
02/11/18,"279,05","0,521","4,84","8,17","5,46","45,1","2,584","3,243","3,325","93,01","28,43","4,49","230,3","4,268","105,75","14,34"
05/11/18,"277,7","0,516","4,86","8,56","5,46","46,3","2,58","3,239","3,33","92,82","28,04","4,45","227,5","4,269","106,55","14,25"
06/11/18,273,"0,526","4,95","8,66","5,44","44,12","2,57","3,232","3,33","94,51","28,4","4,5","228,3","4,195","105,35","14,45"
07/11/18,"276,25","0,547","4,85","8,59","5,46","42,32","2,59","3,234","3,31","93,32","28,54","4,56","230,8","4,211","107,1","14,46"
08/11/18,271,"0,535","4,76","8,3","5,56","43,04","2,603","3,283","3,37","93,31","26,99","4,6","230,2","4,235","107,15","14,16"
09/11/18,266,"0,542","4,9","8,06","5,56","41,97","2,573","3,25","3,35","93,55","26,28","4,66","229,2","4,231","106,65","14,29"
12/11/18,"263,45","0,532","4,95","8,32","5,54","41,24","2,59","3,245","3,38","92,45","25,43","4,66","224,1","4,182","106,85","14,23"
13/11/18,"269,7","0,547","5,13","8,06","5,56","41,44","2,609","3,241","3,385","93,03","24,76","4,71","226,5","4,166","107,2","14,26"
14/11/18,"268,1","0,572","5,27","8,06","5,47","41,02","2,606","3,249","3,435","93,91","24,58","4,76","228,7","4,188","105,85","14,62"
15/11/18,"265,4","0,576","5,28","7,7","5,4","39,1","2,616","3,245","3,415","94,03","24,52","4,76",226,"4,195","106,5","14,7"
16/11/18,"264,25","0,57","5,28","7,71","5,3","39,05","2,605","3,132","3,465","96,49","24,4","4,78","226,8","4,236","105,45","14,72"
19/11/18,"259,25","0,565","5,22","7,28","5,33","37,84","2,599","3,054","3,485","96,64","24,48","4,76","226,6","4,252","104,95","14,76"
20/11/18,"253,85","0,575","5,12","7,43","5,04","37,79","2,568","3,035","3,465","92,77","24,47","4,79","223,7","4,217","102,85","14,89"
21/11/18,"260,65","0,575","5,13","7,86","5,02","36,2","2,555","3,002","3,445","92,49","24,47","4,81",233,"4,172","103,65","15,01"
22/11/18,"258,5","0,569","5,05","7,86","4,93","35,7","2,552","2,927","3,395","91,76","24,18","4,8",231,"4,072","102,65","14,85"
23/11/18,"258,45","0,571",5,"7,85","4,92","35,19","2,563","2,95","3,195","90,98","24,11","4,83","230,3","4,147","103,25","14,72"
26/11/18,"256,6","0,554","4,83","7,66","5,03","36,61","2,548","3,001","3,25","90,97","23,37","4,75","227,7","4,255","105,45","14,29"
27/11/18,"254,2","0,56","5,03","7,64","5,02","36,33","2,579","3,041","3,25","87,36","22,73","4,75","235,2","4,232","104,35","14,33"
28/11/18,"256,55","0,548","5,01","7,53","4,96","36,6","2,574","2,973","3,35","90,09","24,11","4,74","235,2","4,195","103,8","14,18"
29/11/18,"256,5","0,565","4,91",7,"4,97","36,08","2,588","3,003","3,4","92,02","24,37","4,81",239,"4,402","104,15","14,25"
30/11/18,"252,55","0,57","5,1","7,04","4,92","37,2","2,606","3,014","3,41","91,18","24,39","4,93","240,6","4,372","106,75","14,36"
03/12/18,"265,25","0,565","5,21","6,75","4,96","37,6","2,608","3,033","3,44","91,92","24,64","5,02","241,9","4,397",107,"14,42"
04/12/18,"261,85","0,562","5,26","6,97","4,85","39,09","2,608","3,033","3,44","91,28","24,96","5,02","243,4","4,397","107,2","14,39"
05/12/18,"259,5","0,558","5,33","7,15","4,76","40,17","2,608","3,033","3,44","90,64","24,56","5,01","245,3","4,397","106,1","14,32"
06/12/18,"247,9","0,549","5,29","7,1","4,51","40,67","2,608","3,033","3,44","92,49","25,58","5,01","244,7","4,397","104,1","14,35"
07/12/18,"249,5","0,545","5,27","7,44","4,52","41,24","2,608","3,033","3,44","92,12","25,56","5,12","253,3","4,397","105,45","14,65"
10/12/18,"243,25","0,52","5,24","7,55","4,36","41,65","2,608","3,033","3,44","92,46","25,51","5,15",251,"4,397","105,35","14,54"
11/12/18,"249,25","0,5","5,25","7,62","4,36","41,74","2,608","3,033","3,44","90,95","25,76","5,19",257,"4,397","106,1","14,53"
12/12/18,"254,35","0,482","5,17","7,41","4,43","41,32","2,608","3,033","3,44","91,17","25,73","5,05","257,9","4,397","107,3","14,37"
13/12/18,"255,85","0,483","5,22","7,48","4,35","41,72","2,608","3,033","3,44","91,77","26,03","5,04","256,5","4,397","107,4","14,6"
14/12/18,"251,95","0,49","5,3","7,46","4,28","41,25","2,608","3,033","3,44","91,15","26,37","5,08","255,4","4,397","107,2","14,51"
17/12/18,"250,1","0,5","5,34","7,46","4,19","41,37","2,608","3,033","3,44","92,01","26,55","5,09",257,"4,397","106,35","14,55"
18/12/18,252,"0,506","5,26","7,49","4,18","44,73","2,608","3,033","3,44","91,37","28,45","5,16","257,1","4,397","105,25","14,73"
19/12/18,"252,4","0,504","5,31","8,11","4,19","43,96","2,608","3,033","3,44","90,64","28,99","5,15","255,3","4,397","107,65","14,69"
20/12/18,"250,1","0,506","5,43","7,78","4,12","43,31","2,608","3,033","3,44","91,42","29,3","5,18",261,"4,397","106,8","14,68"
21/12/18,"253,45","0,496","5,74",8,"4,1","43,56","2,608","3,033","3,44","90,44","29,09","5,16","261,8","4,397","107,6","14,81"
24/12/18,"245,15","0,5","5,63","7,98",4,45,"2,608","3,033","3,44","94,84","28,92","5,25","259,4","4,397","106,8","14,79"
27/12/18,"247,15","0,501","5,7","7,86","3,96","44,24","2,608","3,033","3,44","94,3","29,08","5,2","261,3","4,397","104,85","14,92"
28/12/18,"252,75","0,502","5,68","7,97","4,05",44,"2,608","3,033","3,44","93,6","29,58","5,21","262,1","4,397","106,25","14,95"
31/12/18,"258,2","0,502","5,51","7,82","4,08",45,"2,608","3,033","3,44","93,52","29,63","5,22","264,7","4,397","108,45","14,98"
02/01/19,"253,3","0,516","5,4","8,13","4,06","44,21","2,608","3,033","3,44","93,54","29,39","5,22","266,9","4,397","106,1","15,23"
03/01/19,"243,65","0,526","5,27","8,06","4,05","44,56","2,608","3,033","3,44","94,52","29,07","5,24","262,8","4,397","104,15","15,26"
04/01/19,"251,15","0,489","5,3","8,11","4,19","44,6","2,608","3,033","3,44","96,47","28,47","5,31","261,2","4,397","107,05","15,37"
07/01/19,"250,7","0,476","5,32","8,07","4,24","45,14","2,608","3,033","3,44","97,47","28,38","5,19","263,6","4,397","106,45","15,4"
08/01/19,"258,55","0,446","5,24","7,75","4,24","45,07","2,608","3,033","3,44","98,03","28,88","5,17","264,2","4,397","106,6","15,32"
09/01/19,"261,55","0,448","5,39","7,7","4,23","43,46","2,608","3,033","3,44","97,44","28,78","5,13","266,8","4,397","105,15","15,38"
10/01/19,"259,15","0,453","5,47","7,66","4,29","42,78","2,608","3,033","3,44","97,92","28,73","5,18","264,3","4,397",104,"15,35"
11/01/19,"258,3","0,46","5,44","7,8","4,3","43,69","2,608","3,033","3,44","97,14","28,24","5,19","266,4","4,397","103,25","15,46"
14/01/19,"251,7","0,459","5,57","7,89","4,34","44,06","2,608","3,033","3,44","97,71","28,29","5,16",267,"4,397","102,4","15,44"
15/01/19,"250,8","0,458","5,54","7,39","4,35","44,42","2,608","3,033","3,44","98,27","28,41","5,24","269,3","4,397","103,55","15,45"
16/01/19,"248,95","0,463","5,57","7,2","4,47","44,14","2,608","3,033","3,44","99,26","28,69","5,23","271,6","4,397","103,95","15,46"
17/01/19,"246,55","0,486","5,54","7,37","4,42","44,95","2,608","3,033","3,44","99,24","28,7","5,27","270,6","4,397","103,95","15,3"
18/01/19,"253,4","0,484","5,4","7,53","4,55","45,54","2,608","3,033","3,44","98,46","28,39","5,17","271,9","4,397","105,55","15,18"
21/01/19,"257,25","0,493","5,3","7,57","4,55","45,54","2,608","3,033","3,44","98,48","29,11","5,18","275,4","4,397","105,15","15,25"
22/01/19,"257,1","0,502","5,3","7,38","4,51","45,54","2,608","3,033","3,44","99,99","29,13","5,17","276,8","4,397","104,9","15,32"
23/01/19,"257,35","0,504","5,3","7,72","4,46","45,54","2,608","3,033","3,44","99,99","29,09","5,18","276,5","4,397","105,05","15,23"
24/01/19,"257,85","0,49","5,3","7,76","4,53","45,54","2,608","3,033","3,44","99,99","29,09","5,13","280,6","4,397","105,3","15,05"
25/01/19,"261,1","0,472","5,3","7,59","4,55","45,54","2,608","3,033","3,44","99,99","29,09","5,1","284,2","4,397","105,2","14,92"
28/01/19,"258,65","0,48","5,3","7,63","4,5","45,54","2,608","3,033","3,44","99,99","29,09","5,14","285,8","4,397","104,45","14,99"
29/01/19,"259,75","0,482","5,3","7,63","4,53","45,54","2,608","3,033","3,44","99,99","29,09","5,2","286,2","4,397","105,3","15,08"
30/01/19,"277,6","0,49","5,3","7,63","4,56","45,54","2,608","3,033","3,44","99,99","29,09","5,22","276,2","4,397","106,05","15,19"
31/01/19,"279,75","0,483","5,3","7,63","4,48","45,54","2,608","3,033","3,44","99,99","29,09","5,21","270,6","4,397","105,95","15,02"
01/02/19,"284,65","0,514","5,3","7,63","4,51","45,54","2,608","3,033","3,44","99,99","29,09","5,24","268,3","4,397","106,5","15,23"
04/02/19,"282,6","0,53","5,3","7,63","4,5","45,54","2,608","3,033","3,44","99,99","29,09","5,24","270,5","4,397","106,15","15,31"
05/02/19,"291,15","0,536","5,3","7,63","4,52","45,54","2,608","3,033","3,44","99,99","29,09","5,23","273,9","4,397",107,"15,17"
06/02/19,"288,1","0,539","5,3","7,63","4,6","45,54","2,608","3,033","3,44","99,99","29,09","5,23","274,7","4,397","105,85","15,22"
07/02/19,"283,4","0,539","5,3","7,63","4,48","45,54","2,608","3,033","3,44","99,99","29,09","5,23","278,4","4,397","105,1","15,22"
08/02/19,"283,55","0,539","5,3","7,63","4,42","45,54","2,608","3,033","3,44","99,99","29,09","5,23","281,9","4,397","104,4","15,22"
11/02/19,"288,3","0,539","5,3","7,63","4,52","45,54","2,608","3,033","3,44","99,99","29,09","5,23","285,7","4,397","105,05","15,22"
12/02/19,"294,8","0,539","5,3","7,63","4,59","45,54","2,608","3,033","3,44","99,99","29,09","5,23","284,7","4,397",106,"15,22"
13/02/19,"294,65","0,539","5,3","7,63","4,61","45,54","2,608","3,033","3,44","99,99","29,09","5,23","276,9","4,397","106,45","15,22"
14/02/19,"290,85","0,539","5,3","7,63","4,38","45,54","2,608","3,033","3,44","99,99","29,09","5,23",276,"4,397",106,"15,22"
15/02/19,"294,2","0,539","5,3","7,63","4,57","45,54","2,608","3,033","3,44","99,99","29,09","5,23","268,9","4,397","106,85","15,22"
18/02/19,"295,1","0,539","5,3","7,63","4,66","45,54","2,608","3,033","3,44","99,99","29,09","5,23","268,5","4,397",107,"15,22"
19/02/19,"297,25","0,539","5,3","7,63","4,64","45,54","2,608","3,033","3,44","99,99","29,09","5,23",269,"4,397","106,8","15,22"
20/02/19,"296,8","0,539","5,3","7,63","4,65","45,54","2,608","3,033","3,44","99,99","29,09","5,23","273,5","4,397","107,8","15,22"
